smiles,reagent_id,dhodh_activity,rorgt_activity,ds_1,ds_2
Nc1ccccc1F,760,0.3853663206100464,0.5726552605628967,-5.3,-4.9
Cc1c(N)cccc1Cl,761,0.396212100982666,0.5711110234260559,-5.5,-5.5
Nc1ccc(Cl)cc1Cl,762,0.3968908190727234,0.5725569725036621,-5.4,-5.2
Nc1cccc(S(=O)(=O)N2CCOCC2)c1,763,0.4138689041137695,0.5815844535827637,-7.4,-7.0
Nc1ccc(S(=O)(=O)N2CCOCC2)cc1,767,0.4130759239196777,0.582787811756134,-7.0,-6.8
CCCCN,772,0.4405517876148224,0.5580911040306091,-3.4,-3.2
CC1CCCC(C)N1,776,0.4178275167942047,0.5865404009819031,-5.0,-4.8
CC1CNCC(C)C1,777,0.4155072569847107,0.5817427039146423,-4.9,-4.9
NCc1ccccn1,778,0.3931538760662079,0.5703431367874146,-5.1,-4.5
NCc1cccnc1,782,0.3934763073921203,0.5713292956352234,-5.2,-4.5
NCCN1CCNCC1,784,0.4283341467380523,0.5692459940910339,-4.4,-4.2
CCCCNCCCC,786,0.4343720078468323,0.5672955513000488,-5.0,-4.6
Nc1ccc(-c2ccccc2)cc1,787,0.3593183159828186,0.5828543901443481,-8.2,-7.4
Cc1cc(I)ccc1N,788,0.3902123272418976,0.5752617120742798,-5.6,-5.8
Nc1cc(Cl)cc(Cl)c1,789,0.3932622969150543,0.5644768476486206,-5.6,-5.3
O=C(O)C1CCNCC1,792,0.4131646454334259,0.566538393497467,-5.0,-4.8
O=C(O)c1ccc(Cl)cc1[N+](=O)[O-],793,0.3954921662807464,0.5680217742919922,-6.5,-6.5
O=C(O)c1ccc(I)cc1,795,0.3882635235786438,0.5722171664237976,-6.2,-5.8
O=C(O)c1ccc(Cl)cc1Cl,812,0.3987297713756561,0.5671998858451843,-6.3,-6.0
O=C(O)c1ccccc1F,815,0.390318214893341,0.5655308365821838,-6.6,-5.6
O=C1CCC(C(=O)O)N1,818,0.4177692532539367,0.5597490668296814,-5.6,-5.2
NS(=O)(=O)c1cccc([N+](=O)[O-])c1,829,0.4112773537635803,0.5771130919456482,-6.7,-6.3
NS(=O)(=O)c1ccccc1Cl,833,0.4074166119098663,0.5748408436775208,-6.5,-6.0
NS(=O)(=O)c1ccc(Br)cc1,834,0.4052395522594452,0.579738199710846,-5.7,-5.9
O=[N+]([O-])c1ccccc1Br,836,0.3949303030967712,0.5658202171325684,-5.9,-5.4
CS(=O)(=O)c1ccc(Cl)c(S(C)(=O)=O)c1,837,0.4091718196868896,0.5731058716773987,-6.0,-6.6
CS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1,838,0.4087952375411987,0.5706982016563416,-6.6,-6.5
Nc1ccc(O)cc1,841,0.3792936205863952,0.5733107924461365,-5.3,-4.7
