smiles,pik3ca_activity,mtor_activity
COc1ccc(Nc2ncc(Cc3ccccc3)cc2-c2nc(C)nc(N)n2)cn1,1.0,
Nc1ncc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)c(OCC(F)(F)F)n1,1.0,
Nc1ncnc2c1c(-c1cccc(O)c1F)nn2C1CCCC1,1.0,1.0
CCc1cc(C(F)(F)F)nn1-c1nc(-c2cccc3[nH]ccc23)nc(N2CCOCC2)n1,1.0,1.0
CCc1nn2c(O)cc(-c3ccncc3)nc2c1Cc1cccc(Cl)c1Cl,1.0,
O=C(Nc1ccncc1)Nc1ccc(-c2nc(C3=CCOCC3)c3sccc3n2)cc1,1.0,1.0
CCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1OC,1.0,1.0
O=S(=O)(Nc1cc(-c2ccc3ncc(N4CCCCC4)nc3c2)cnc1Cl)c1ccc(F)cc1,1.0,
Oc1cccc(-c2nc(N3CCOCC3)c3ncn(C4CCN(Cc5ccccc5)CC4)c3n2)c1,1.0,
COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,1.0,1.0
Clc1ccc(Nc2nccc(-c3ccc(Cl)c(Cl)c3)n2)c(Cl)c1,1.0,
CC(C)n1nc(-c2ccc(F)c(O)c2)c2c(N)ncnc21,1.0,1.0
CC(=O)Nc1nc2ccc(-c3ccnc(N(C)S(=O)(=O)c4ccc(C)cc4)n3)cc2s1,1.0,
COC[C@H]1OC(=O)/C(=C/N(CCCN(C)C)CCCN(C)C)C2C(=O)C(=O)C3C(=C(OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,1.0,1.0
C[C@@H]1COCCN1c1nc(-c2ccc(NC(=O)Nc3ccc(C(=O)NCCN(C)C)cc3)cc2)nc(N2C3CCC2COC3)n1,1.0,1.0
Nc1cnc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cn1,1.0,
O=S(=O)(c1ccc(F)cc1)c1nc2ccccc2nc1N1CCOCC1,1.0,
Cc1c(Cl)cccc1Cn1c(N)nc(=O)c2sc(N3CCOCC3)nc21,1.0,
COc1ccc(-c2cc3c(C)nc(N)nc3n(C3CCCC3)c2=O)cn1,1.0,1.0
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccc(-n2cccn2)cc1,1.0,
CC(=O)Nc1nc2ccc(-c3ccnc(OCCN4CCOCC4)n3)cc2s1,1.0,
CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3nc(C(C)(C)O)n(C)c3n2)cc1,1.0,
Cc1nc(N)cc(-c2c(Nc3cc[nH]n3)nc3ccccn23)n1,1.0,1.0
CC(C)(CO)CN(Cc1cccc2ccccc12)c1cc(N2CCOCC2)nc(O)n1,0.0,
Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3C4CCC3COC4)ccnc21,1.0,1.0
N#Cc1ccc(Oc2c3cc4c(cc3nc3occc23)OCO4)cc1,0.0,
O=C(Cc1nc(O)cc(N2CCOCC2)n1)Nc1cccc(Cl)c1,1.0,
